decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
13.554209,75.106282,"Pedostibes tuberculosus Günther, 1876",LC
21.308352,72.868446,"Potamarcha congener (Rambur, 1842)",LC
10.52678,76.3588,Hopea racophloea Dyer,EN
15.335013,76.460024,"Pycnonotus cafer (Linnaeus, 1766)",LC
26.521458,88.719557,"Humerana humeralis (Boulenger, 1887)",LC
14.464409,75.921758,"Graphium sarpedon (Linnaeus, 1758)",LC
14.464409,75.921758,"Pycnonotus cafer (Linnaeus, 1766)",LC
15.130252,76.224012,"Spatula querquedula (Linnaeus, 1758)",LC
22.5958,88.4281,"Junonia almana (Linnaeus, 1758)",LC
31.682749,77.506744,"Cinclus pallasii Temminck, 1820",LC
22.334513,80.611511,"Phalacrocorax carbo (Linnaeus, 1758)",LC
13.062642,77.617317,Cassia fistula L.,LC
26.87689,88.275902,"Raorchestes annandalii (Boulenger, 1906)",LC
19.018236,73.279388,"Phalanta phalantha (Drury, 1773)",LC
24.43202,92.330689,"Neurothemis tullia (Drury, 1773)",LC
11.549578,79.755592,Ipomoea pes-caprae (L.) R.Br.,LC
22.685756,88.336076,"Junonia almana (Linnaeus, 1758)",LC
11.410204,76.695032,"Buteo buteo (Linnaeus, 1758)",LC
11.438244,76.873537,"Micrixalus phyllophilus (Jerdon, 1853)",VU
21.248069,79.986407,"Spilornis cheela (Latham, 1790)",LC
11.434445,76.874168,"Eumyias albicaudatus (Jerdon, 1840)",LC
12.954585,75.38106,"Draco dussumieri Duméril & Bibron, 1837",LC
22.988771,87.010568,"Orthetrum sabina (Drury, 1773)",LC
11.734461,78.202039,"Danaus chrysippus (Linnaeus, 1758)",LC
11.302785,76.938339,"Hypolimnas misippus Linnaeus, 1764",LC
12.469299,92.817825,"Halcyon smyrnensis (Linnaeus, 1758)",LC
12.890235,77.587374,"Rhyothemis variegata (Linnaeus, 1763)",LC
18.980478,73.262711,"Danaus chrysippus (Linnaeus, 1758)",LC
10.0157,76.3385,"Rhyothemis variegata (Linnaeus, 1763)",LC
9.227333,76.515891,Plumeria rubra L.,LC
25.143525,94.283342,"Graphium sarpedon (Linnaeus, 1758)",LC
22.309804,87.89274,"Brachydiplax sobrina (Rambur, 1842)",LC
25.043541,94.36245,"Fowlea piscator (Schneider, 1799)",LC
18.694579,72.894041,"Trithemis festiva (Rambur, 1842)",LC
12.952461,77.586342,Duabanga grandiflora (Roxb. ex DC.) Walp.,LC
10.400006,76.343468,"Aethriamanta brevipennis (Rambur, 1842)",LC
28.538403,77.165895,Alstonia scholaris (L.) R.Br.,LC
12.239952,79.390984,"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",VU
19.860656,74.012654,"Ammomanes phoenicura (Franklin, 1831)",LC
14.681888,77.600594,"Calotes versicolor (Daudin, 1802)",LC
12.568303,75.656662,Lophopetalum wightianum Arn.,LC
30.3165,77.9569,"Hoplobatrachus tigerinus (Daudin, 1802)",LC
14.390799,75.637901,"Eurema hecabe (Linnaeus, 1758)",LC
24.070512,88.256765,"Ceriagrion cerinorubellum (Brauer, 1865)",LC
18.549929,82.753998,"Neurobasis chinensis (Linnaeus, 1758)",LC
25.166408,75.838227,Pongamia pinnata (L.) Pierre,LC
18.986601,73.267899,"Zizula hylax (Fabricius, 1775)",LC
17.385044,78.486671,"Orthotomus sutorius (Pennant, 1769)",LC
12.739404,77.786698,"Pseudibis papillosa (Temminck, 1824)",LC
12.579581,78.639877,Solanum erianthum D.Don,LC
20.1834,85.6185,Delonix regia (Bojer ex Hook.) Raf.,LC
8.434355,76.991669,"Rhyothemis variegata (Linnaeus, 1763)",LC
22.334513,80.611511,Pongamia pinnata (L.) Pierre,LC
25.143525,94.283342,Firmiana colorata (Roxb.) R.Br.,LC
14.464409,75.921758,"Otus bakkamoena Pennant, 1769",LC
28.915768,79.509502,"Diplacodes trivialis (Rambur, 1842)",LC
19.847981,73.988965,"Funambulus palmarum (Linnaeus, 1766)",LC
17.687426,73.95665,"Prinia socialis Sykes, 1832",LC
27.0144,94.9869,Ficus hispida L.fil.,LC
22.762213,78.348679,Polypogon monspeliensis (L.) Desf.,LC
12.86068,74.855949,"Leptocoma zeylonica (Linnaeus, 1766)",LC
11.4738,76.0561,"Cheritra freja (Fabricius, 1793)",LC
13.432366,77.728043,"Eurema hecabe (Linnaeus, 1758)",LC
8.504928,77.466446,Dimocarpus longan Lour.,DD
15.045639,76.207353,"Calidris pugnax (Linnaeus, 1758)",LC
25.186991,75.825816,"Agriocnemis pygmaea (Rambur, 1842)",LC
22.681172,88.352076,Cascabela thevetia (L.) Lippold,LC
25.2186,75.8329,"Orthetrum sabina (Drury, 1773)",LC
23.6584,88.1232,"Dinopium benghalense (Linnaeus, 1758)",LC
12.269372,76.611978,"Acisoma panorpoides Rambur, 1842",LC
25.3693,76.0071,"Zizina otis (Fabricius, 1787)",LC
28.704059,77.10249,"Orthetrum sabina (Drury, 1773)",LC
26.8635,75.7955,Azadirachta indica A.Juss.,LC
25.1616,75.8322,Sterculia urens Roxb.,LC
26.144516,91.736237,"Chanda nama Hamilton, 1822",LC
10.565707,76.166603,Terminalia catappa L.,LC
15.593939,74.038719,"Tetrathemis platyptera Selys, 1878",LC
24.607288,92.383438,"Anastomus oscitans (Boddaert, 1783)",LC
27.261595,95.609415,"Harpactes erythrocephalus (Gould, 1834)",LC
10.102,76.712997,"Haliastur indus (Boddaert, 1783)",LC
23.581524,87.191018,"Phalanta phalantha (Drury, 1773)",LC
13.360501,74.786369,"Pseudophilautus wynaadensis (Jerdon, 1853)",LC
26.825472,75.846622,Azadirachta indica A.Juss.,LC
17.478449,81.72998,"Chloropsis aurifrons (Temminck, 1829)",LC
11.468,76.9731,"Chloropsis aurifrons (Temminck, 1829)",LC
28.338743,77.619216,"Crocothemis servilia (Drury, 1773)",LC
15.284268,74.530216,"Monilesaurus rouxii (Duméril & Bibron, 1837)",LC
10.317638,76.240703,"Orthetrum luzonicum (Brauer, 1868)",LC
12.983542,77.557289,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
18.787285,76.781296,"Junonia orithya Linnaeus, 1758",LC
28.638644,77.07206,"Hasarius adansoni (Audouin, 1826)",LC
10.7597,75.9353,Ficus religiosa L.,LC
12.920049,77.583435,Artocarpus altilis (Parkinson) Fosberg,VU
11.336063,76.796127,"Cnemaspis gracilis (Beddome, 1870)",LC
11.616203,92.620537,"Fowlea tytleri (Blyth, 1863)",LC
13.56631,75.134205,"Pedostibes tuberculosus Günther, 1876",LC
25.185,75.8538,"Metopidius indicus (Latham, 1790)",LC
26.970173,75.657842,Dalbergia sissoo Roxb. ex DC.,LC
13.56631,75.134205,"Raorchestes luteolus (Kuramoto & Joshy, 2003)",LC
8.038523,93.542282,"Bronchocela rubrigularis Hallermann, 2009",DD
10.967529,76.91821,"Orthetrum glaucum (Brauer, 1865)",LC
20.1976,85.4399,Dalbergia sissoo Roxb. ex DC.,LC
20.237556,84.270018,"Prionailurus viverrinus (Bennett, 1833)",VU
12.910491,77.585716,Alstonia scholaris (L.) R.Br.,LC
11.572177,76.642715,"Pycnonotus luteolus (Lesson, 1841)",LC
24.5672,85.5337,"Diplacodes trivialis (Rambur, 1842)",LC
13.046599,77.585587,"Ardea cinerea Linnaeus, 1758",LC
11.792278,76.166287,"Clinotarsus curtipes (Jerdon, 1853)",LC
23.332203,86.361641,Aeginetia indica L.,LC
9.878191,76.303867,"Danaus chrysippus (Linnaeus, 1758)",LC
10.30582,76.872772,"Uropeltis nitida (Beddome, 1878)",DD
26.572229,93.419357,"Amolops assamensis Sengupta, Hussain, Choudhury, Gogoi, Ahmed & Choudhury, 2008",VU
19.942724,75.213165,"Ptyonoprogne concolor (Sykes, 1832)",LC
18.519716,73.637444,Bombax ceiba L.,LC
22.8032,77.7744,Cyanotis axillaris (L.) D.Don ex Sweet,LC
11.064129,76.537819,"Prionailurus bengalensis (Kerr, 1792)",LC
21.769949,88.231513,"Brachydiplax chalybea Brauer, 1868",LC
13.386619,75.723801,Habenaria grandifloriformis Blatt. & McCann,NT
26.142598,91.643536,"Amphiesma stolatum (Linnaeus, 1758)",LC
20.718581,73.038332,"Eurema hecabe (Linnaeus, 1758)",LC
13.425905,77.50331,"Euodice malabarica (Linnaeus, 1758)",LC
28.915768,79.509502,"Junonia almana (Linnaeus, 1758)",LC
22.975373,86.986599,"Trithemis festiva (Rambur, 1842)",LC
26.762297,89.583946,"Prinia flaviventris (Delessert, 1840)",LC
24.356598,88.121361,"Calotes versicolor (Daudin, 1802)",LC
26.870798,75.809639,Prunus persica (L.) Stokes,DD
25.144574,94.323766,Urtica dioica L.,LC
11.411828,76.695358,"Elanus caeruleus (Desfontaines, 1789)",LC
13.087367,77.609932,Ficus religiosa L.,LC
18.59798,74.868256,"Uperodon systoma (Schneider, 1799)",LC
12.949636,80.225777,"Porphyrio porphyrio (Linnaeus, 1758)",LC
12.250972,79.046669,Scutia myrtina (Burm.fil.) Kurz,LC
22.75782,77.739601,"Saxicola torquatus (Linnaeus, 1766)",LC
26.8688,75.7835,Moringa oleifera Lam.,LC
12.986931,77.595802,Terminalia catappa L.,LC
24.696938,79.988883,"Psittacula krameri (Scopoli, 1769)",LC
27.946787,73.052704,"Pavo cristatus Linnaeus, 1758",LC
22.470454,70.051764,Mangifera indica L.,DD
32.256849,75.630803,"Bubulcus ibis (Linnaeus, 1758)",LC
26.017328,76.502571,"Boselaphus tragocamelus (Pallas, 1766)",LC
26.8725,75.8132,"Ischnura senegalensis (Rambur, 1842)",LC
22.972212,88.444213,"Pseudagrion australasiae Selys, 1876",LC
29.344309,79.529434,"Enicurus maculatus Vigors, 1831",LC
9.223338,76.776932,"Dendrelaphis tristis (Daudin, 1803)",LC
11.958303,79.738602,Phyla nodiflora (L.) Greene,LC
21.769949,88.231513,"Ceriagrion coromandelianum (Fabricius, 1798)",LC
23.6353,88.135,"Amaurornis phoenicurus (Pennant, 1769)",LC
25.1811,75.8277,"Neurothemis tullia (Drury, 1773)",LC
22.428356,87.215172,"Caprimulgus atripennis Jerdon, 1845",LC
15.44011,74.106378,"Crocodylus palustris (Lesson, 1831)",VU
18.210489,74.837143,"Perdicula argoondah (Sykes, 1832)",LC
27.0113,94.3362,Punica granatum L.,LC
20.693672,73.535851,"Trithemis festiva (Rambur, 1842)",LC
30.343769,77.999557,"Sitta frontalis Swainson, 1820",LC
17.36817,78.409081,"Sturnia pagodarum (Gmelin, 1789)",LC
13.046599,77.585587,"Ardeola grayii (Sykes, 1832)",LC
24.441694,92.385063,"Irena puella (Latham, 1790)",LC
13.4404,75.0845,"Pedostibes tuberculosus Günther, 1876",LC
14.230669,77.608798,"Streptopelia decaocto (Frivaldszky, 1838)",LC
21.759988,88.227764,"Euphlyctis cyanophlyctis (Schneider, 1799)",LC
15.045639,76.207353,"Tringa ochropus Linnaeus, 1758",LC
12.758901,78.218536,"Polypedates maculatus (Gray, 1830)",LC
21.132523,79.046028,"Brachythemis contaminata (Fabricius, 1793)",LC
9.649626,76.381134,"Aethriamanta brevipennis (Rambur, 1842)",LC
10.547396,76.230881,"Amaurornis phoenicurus (Pennant, 1769)",LC
28.704059,77.10249,"Bradinopyga geminata (Rambur, 1842)",LC
24.607288,92.383438,"Aviceda leuphotes (Dumont, 1820)",LC
12.414364,75.740952,"Rhacophorus malabaricus Jerdon, 1870",LC
21.56313,88.259502,"Junonia almana (Linnaeus, 1758)",LC
28.915768,79.509502,"Crocothemis servilia (Drury, 1773)",LC
8.895621,76.639433,Mangifera indica L.,DD
22.440926,72.042938,"Phoenicopterus roseus Pallas, 1811",LC
22.988771,87.010568,"Crocothemis servilia (Drury, 1773)",LC
14.361317,75.890611,"Charadrius dubius Scopoli, 1786",LC
24.352674,92.344815,"Orthetrum sabina (Drury, 1773)",LC
11.711934,76.163882,"Pycnonotus cafer (Linnaeus, 1766)",LC
27.155851,92.462997,"Prunella immaculata (Hodgson, 1845)",LC
10.424099,77.12556,"Indotestudo travancorica (Boulenger, 1907)",VU
18.281227,74.756142,"Anastomus oscitans (Boddaert, 1783)",LC
23.322056,87.216457,"Junonia almana (Linnaeus, 1758)",LC
12.269372,76.611978,"Orthetrum sabina (Drury, 1773)",LC
25.537471,83.712216,"Crocothemis servilia (Drury, 1773)",LC
20.116846,79.273819,"Amaurornis phoenicurus (Pennant, 1769)",LC
14.316617,75.781288,"Herpestes edwardsi (É.Geoffroy Saint-Hilaire, 1818)",LC
19.004379,73.282455,"Zizina otis (Fabricius, 1787)",LC
12.890235,77.587374,"Urothemis signata (Rambur, 1842)",LC
17.330238,78.393974,"Ardea purpurea Linnaeus, 1766",LC
18.980478,73.262711,"Zizula hylax (Fabricius, 1775)",LC
23.520444,87.311923,"Uperodon globulosus (Günther, 1864)",LC
12.617031,80.198578,"Funambulus palmarum (Linnaeus, 1766)",LC
11.940712,79.808014,Polyalthia longifolia (Sonn.) Thwaites,LC
30.684999,78.351669,Ficus semicordata Buch.-Ham. ex Sm.,LC
29.423611,79.426941,"Garrulus lanceolatus Vigors, 1831",LC
22.0911,88.7623,Tamarindus indica L.,LC
18.962999,73.262711,"Zizina otis (Fabricius, 1787)",LC
13.36674,77.672997,"Psammophilus dorsalis (Gray, 1831)",LC
13.425905,77.50331,"Ploceus philippinus (Linnaeus, 1766)",LC
9.667318,77.551194,"Pitta brachyura (Linnaeus, 1766)",LC
12.984736,77.589653,Psidium guajava L.,LC
25.183,75.8245,"Crocothemis servilia (Drury, 1773)",LC
12.877984,77.654503,Senna spectabilis (DC.) H.S.Irwin & Barneby,LC
9.596133,76.512294,"Accipiter badius (Gmelin, 1788)",LC
25.2144,75.834,"Vanellus indicus (Boddaert, 1783)",LC
22.680816,88.35242,Hibiscus rosa-sinensis L.,CR
32.22324,77.195961,"Urocissa flavirostris (Blyth, 1846)",LC
18.962999,73.262711,"Melanitis leda Linnaeus, 1758",LC
28.915768,79.509502,"Potamarcha congener (Rambur, 1842)",LC
18.986601,73.267899,"Melanitis leda Linnaeus, 1758",LC
19.821,85.8582,Cereus repandus (L.) Mill.,LC
22.334513,80.611511,"Axis axis (Erxleben, 1777)",LC
10.352536,76.251701,"Orthetrum sabina (Drury, 1773)",LC
29.648693,80.199959,"Milvus migrans (Boddaert, 1783)",LC
18.447154,73.810205,"Ocyceros birostris (Scopoli, 1786)",LC
22.334513,80.611511,"Sus scrofa Linnaeus, 1758",LC
22.802798,88.333968,"Danaus chrysippus (Linnaeus, 1758)",LC
14.424267,76.566544,"Pachliopta hector (Linnaeus, 1758)",LC
26.205967,91.679535,"Leptoptilos dubius (Gmelin, 1789)",NT
18.173405,74.956801,"Euodice malabarica (Linnaeus, 1758)",LC
11.23485,75.805679,"Junonia almana (Linnaeus, 1758)",LC
22.103265,88.780424,"Microcarbo niger (Vieillot, 1817)",LC
12.965678,77.338257,"Trithemis festiva (Rambur, 1842)",LC
22.681321,88.352364,"Diplacodes trivialis (Rambur, 1842)",LC
14.73401,74.758211,"Rhacophorus malabaricus Jerdon, 1870",LC
26.667288,91.038979,Mimosa pudica L.,LC
17.67804,80.663551,"Sturnia pagodarum (Gmelin, 1789)",LC
18.400719,73.377068,Terminalia paniculata B.Heyne ex Roth,LC
27.811535,74.43454,"Milvus migrans (Boddaert, 1783)",LC
19.136319,73.19815,"Brachythemis contaminata (Fabricius, 1793)",LC
18.9568,72.8046,"Danaus chrysippus (Linnaeus, 1758)",LC
8.803958,76.701182,"Anastomus oscitans (Boddaert, 1783)",LC
9.570541,76.494125,Pistia stratiotes L.,LC
24.43202,92.330688,"Zyxomma petiolatum Rambur, 1842",LC
13.575214,75.106908,"Pedostibes tuberculosus Günther, 1876",LC
30.570501,78.004555,"Zosterops palpebrosus (Temminck, 1824)",LC
12.658055,75.686668,Nothopegia travancorica Bedd. ex Hook.fil.,VU
14.61473,74.657538,"Pedostibes tuberculosus Günther, 1876",LC
9.924155,76.76931,"Ptyas mucosa (Linnaeus, 1758)",LC
26.985363,94.305954,Eclipta prostrata (L.) L.,LC
15.368606,73.944799,"Echis carinatus (Schneider, 1801)",LC
12.363329,75.287857,"Dinopium benghalense (Linnaeus, 1758)",LC
11.542457,76.027223,"Rhyothemis triangularis Kirby, 1889",LC
28.297127,74.953537,"Cursorius cursor (Latham, 1787)",LC
16.666363,73.459267,Morinda citrifolia L.,LC
