decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
9.39771,76.57853,Ficus racemosa L.,LC
11.95135,79.79269,Mimusops elengi L.,LC
10.19659,76.25224,Tectona grandis L.f.,EN
9.63396,76.61791,Psidium guajava L.,LC
8.85089,76.66217,Murraya koenigii (L.) Spreng.,LC
11.39965,75.95469,Morus alba L.,LC
18.97872,72.83551,Cochlospermum religiosum (L.) Alston,LC
9.39771,76.57853,Mangifera indica L.,DD
10.10601,76.68314,Coffea arabica L.,EN
8.34321,77.05285,Tamarindus indica L.,LC
12.13769,75.30003,Tectona grandis L.f.,EN
8.63206,76.92526,Punica granatum L.,LC
11.9206,75.81013,Tectona grandis L.f.,EN
10.02832,76.40105,Mangifera indica L.,DD
11.2398,75.92351,Bauhinia purpurea L.,LC
11.63583,75.60132,Nyctanthes arbor-tristis L.,LC
11.66388,92.746,Moringa oleifera Lam.,LC
8.5311,77.11132,Mangifera indica L.,DD
11.82243,75.55961,Cassia fistula L.,LC
9.31913,76.42464,Thespesia populnea (L.) Sol. ex Corrêa,LC
9.43381,77.55681,Plumeria rubra L.,LC
8.34387,77.05188,Terminalia catappa L.,LC
22.40018,80.75019,Mangifera indica L.,DD
9.04781,76.57111,Ficus racemosa L.,LC
11.85632,75.41246,Gliricidia sepium (Jacq.) Kunth,LC
13.91572,78.55838,Ficus racemosa L.,LC
8.34321,77.05285,Mimusops elengi L.,LC
10.95745,76.80927,Moringa oleifera Lam.,LC
22.31698,73.18857,Santalum album L.,VU
10.1926,76.2507,Bauhinia purpurea L.,LC
8.34323,77.05283,Azadirachta indica A.Juss.,LC
11.83935,75.42206,Tamarindus indica L.,LC
18.97838,73.02911,Cassia fistula L.,LC
18.49005,73.82136,Terminalia catappa L.,LC
8.60335,76.85585,Tamarindus indica L.,LC
11.40157,75.99154,Mangifera indica L.,DD
9.13502,76.80587,Terminalia catappa L.,LC
22.41567,81.4957,Mangifera indica L.,DD
8.34321,77.05285,Ficus racemosa L.,LC
11.60935,78.5157,Nerium oleander L.,LC
8.34321,77.05285,Bombax ceiba L.,LC
11.636,76.0885,Psidium guajava L.,LC
10.87236,76.66612,Phyllanthus emblica L.,LC
10.81827,76.67378,Phyllanthus emblica L.,LC
8.87562,76.61831,Mangifera indica L.,DD
10.32682,76.2933,Mangifera indica L.,DD
9.20754,76.61029,Quercus floribunda Lindl. ex A.Camus,LC
10.42739,76.21604,Annona squamosa L.,LC
8.34321,77.05285,Mangifera indica L.,DD
9.3852,76.5848,Spathodea campanulata Beauverd,LC
11.71877,75.55562,Delonix regia (Bojer ex Hook.) Raf.,LC
8.34321,77.05285,Mimusops elengi L.,LC
9.78619,76.44449,Phyllanthus emblica L.,LC
9.38373,76.58996,Moringa oleifera Lam.,LC
11.82099,75.43256,Cassia fistula L.,LC
8.34321,77.05285,Ficus racemosa L.,LC
10.18051,76.21048,Psidium guajava L.,LC
22.3291,73.14531,Alstonia scholaris (L.) R.Br.,LC
9.39771,76.57853,Ficus religiosa L.,LC
10.79183,76.49968,Annona squamosa L.,LC
8.72751,76.72788,Mangifera indica L.,DD
11.25065,75.96868,Gliricidia sepium (Jacq.) Kunth,LC
30.22887,78.80352,Azadirachta indica A.Juss.,LC
8.34939,77.0545,Delonix regia (Bojer ex Hook.) Raf.,LC
8.75685,76.75791,Holoptelea integrifolia (Roxb.) Planch.,LC
8.7694,76.82379,Bombax ceiba L.,LC
25.52147,91.27093,Prunus cerasoides Buch.-Ham. ex D.Don,LC
9.23755,76.77876,Coffea canephora Pierre ex A.Froehner,LC
9.17132,76.60099,Bauhinia purpurea L.,LC
11.37422,75.97971,Borassus flabellifer L.,LC
8.34387,77.05188,Muntingia calabura L.,LC
21.07587,85.36991,Mangifera indica L.,DD
9.3852,76.5848,Spathodea campanulata Beauverd,LC
22.59861,88.3246,Mangifera indica L.,DD
8.34321,77.05285,Phyllanthus emblica L.,LC
9.46555,77.53044,Syzygium cumini (L.) Skeels,LC
10.08159,76.35778,Aegle marmelos (L.) Corrêa,NT
22.31245,73.18378,Holoptelea integrifolia (Roxb.) Planch.,LC
8.34321,77.05285,Tamarindus indica L.,LC
22.50626,80.48688,Psidium guajava L.,LC
20.26324,85.81218,Azadirachta indica A.Juss.,LC
22.51585,80.5244,Ziziphus mauritiana Lam.,LC
8.75197,76.7726,Gmelina arborea Roxb. ex Sm.,LC
8.34321,77.05285,Tamarindus indica L.,LC
9.18588,76.76956,Psidium guajava L.,LC
20.92498,72.90889,Holoptelea integrifolia (Roxb.) Planch.,LC
8.94239,76.7724,Annona squamosa L.,LC
18.52284,73.83897,Delonix regia (Bojer ex Hook.) Raf.,LC
9.39771,76.57853,Pongamia pinnata (L.) Pierre,LC
8.78358,76.7531,Samanea saman (Jacq.) Merr.,LC
9.38373,76.58996,Terminalia catappa L.,LC
8.34187,77.04894,Azadirachta indica A.Juss.,LC
9.3865,76.58265,Semecarpus anacardium L.fil.,LC
28.97076,77.74163,Caryota urens L.,LC
9.54873,76.51284,Aegle marmelos (L.) Corrêa,NT
8.34321,77.05285,Alstonia scholaris (L.) R.Br.,LC
9.38531,76.58632,Spathodea campanulata Beauverd,LC
18.89633,75.88701,Murraya koenigii (L.) Spreng.,LC
8.78794,76.75808,Jacaranda mimosifolia D.Don,VU
10.76944,76.48261,Phyllanthus emblica L.,LC
9.39315,76.36139,Mangifera indica L.,DD
18.97857,72.83638,Plumeria rubra L.,LC
9.28276,76.77024,Morinda coreia Buch.-Ham.,LC
11.82663,75.4288,Bombax ceiba L.,LC
15.86696,74.47161,Ficus religiosa L.,LC
8.36077,77.05124,Cassia fistula L.,LC
8.32976,77.0514,Samanea saman (Jacq.) Merr.,LC
11.05098,76.0711,Azadirachta indica A.Juss.,LC
9.39771,76.57853,Alstonia scholaris (L.) R.Br.,LC
11.2378,75.9219,Mangifera indica L.,DD
18.5126,73.89852,Lagerstroemia speciosa (L.) Pers.,LC
8.81502,76.75704,Cassia fistula L.,LC
11.56428,75.79319,Mangifera indica L.,DD
11.62616,75.57842,Tamarindus indica L.,LC
8.75197,76.7726,Muntingia calabura L.,LC
10.10897,76.33346,Psidium guajava L.,LC
13.0701,77.57931,Tabebuia rosea (Bertol.) Bertero ex A.DC.,LC
10.63238,76.51558,Mangifera indica L.,DD
9.78499,76.44959,Mangifera indica L.,DD
9.22847,76.66142,Mangifera indica L.,DD
9.37855,76.56903,Mangifera indica L.,DD
8.34321,77.05285,Mimusops elengi L.,LC
9.46667,77.53037,Syzygium cumini (L.) Skeels,LC
9.19605,76.87564,Tectona grandis L.f.,EN
8.34387,77.05188,Annona squamosa L.,LC
8.81235,76.75887,Samanea saman (Jacq.) Merr.,LC
11.82239,75.43148,Bombax ceiba L.,LC
8.45676,77.07134,Mangifera indica L.,DD
9.08679,76.48932,Azadirachta indica A.Juss.,LC
8.34321,77.05285,Mangifera indica L.,DD
12.229,75.12674,Psidium guajava L.,LC
9.04054,76.64805,Mangifera indica L.,DD
11.80879,75.49712,Alstonia scholaris (L.) R.Br.,LC
11.07748,76.99121,Azadirachta indica A.Juss.,LC
9.56533,76.56616,Dillenia indica L.,LC
28.54046,77.25642,Dalbergia sissoo Roxb. ex DC.,LC
10.73042,76.42012,Cassia fistula L.,LC
10.91512,75.92599,Psidium guajava L.,LC
22.20696,80.35565,Butea monosperma (Lam.) Kuntze,LC
8.61095,76.83142,Aegle marmelos (L.) Corrêa,NT
10.85423,76.52358,Mangifera indica L.,DD
9.09005,76.5981,Alstonia scholaris (L.) R.Br.,LC
11.48129,75.64245,Moringa oleifera Lam.,LC
10.81853,76.67283,Ficus religiosa L.,LC
9.02478,76.82019,Tectona grandis L.f.,EN
25.24063,73.45485,Cassia fistula L.,LC
8.34321,77.05285,Syzygium cumini (L.) Skeels,LC
8.34387,77.05188,Mangifera indica L.,DD
23.0321,80.52964,Azadirachta indica A.Juss.,LC
8.74425,76.71083,Nyctanthes arbor-tristis L.,LC
8.34321,77.05285,Mimusops elengi L.,LC
22.3119,73.18543,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
12.46247,75.08811,Mangifera indica L.,DD
13.06842,77.57832,Ficus racemosa L.,LC
9.35951,76.43507,Annona squamosa L.,LC
12.02033,79.8553,Delonix regia (Bojer ex Hook.) Raf.,LC
10.79145,76.50102,Mangifera indica L.,DD
8.85089,76.66217,Tamarindus indica L.,LC
9.15058,76.53108,Mangifera indica L.,DD
9.38373,76.58996,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
8.34321,77.05285,Lagerstroemia speciosa (L.) Pers.,LC
8.84015,76.6447,Psidium guajava L.,LC
10.01463,76.35206,Ficus racemosa L.,LC
8.34321,77.05285,Phyllanthus emblica L.,LC
11.02916,76.03775,Mangifera indica L.,DD
8.61503,76.82981,Samanea saman (Jacq.) Merr.,LC
11.89869,76.00549,Gliricidia sepium (Jacq.) Kunth,LC
9.39771,76.57853,Alstonia scholaris (L.) R.Br.,LC
20.17182,85.68574,Lannea coromandelica (Houtt.) Merr.,LC
10.99148,76.84261,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
11.9977,75.43113,Moringa oleifera Lam.,LC
10.81853,76.67283,Cassia fistula L.,LC
8.63146,76.81467,Aegle marmelos (L.) Corrêa,NT
10.15053,76.27398,Lawsonia inermis L.,LC
9.98378,76.30672,Azadirachta indica A.Juss.,LC
8.34075,77.06599,Mangifera indica L.,DD
10.11831,76.38543,Tamarindus indica L.,LC
8.61354,76.83297,Aegle marmelos (L.) Corrêa,NT
9.78499,76.44959,Mangifera indica L.,DD
9.38527,76.57499,Delonix regia (Bojer ex Hook.) Raf.,LC
8.34321,77.05285,Mangifera indica L.,DD
10.3564,76.12765,Azadirachta indica A.Juss.,LC
10.11831,76.38543,Tamarindus indica L.,LC
8.34321,77.05285,Mangifera indica L.,DD
8.34321,77.05285,Mangifera indica L.,DD
9.39771,76.57853,Tamarindus indica L.,LC
10.49606,76.21478,Bauhinia purpurea L.,LC
8.78322,76.85759,Tectona grandis L.f.,EN
9.37158,76.36706,Tectona grandis L.f.,EN
8.60127,76.87497,Cassia fistula L.,LC
9.38859,76.58297,Gliricidia sepium (Jacq.) Kunth,LC
22.90802,88.40932,Azadirachta indica A.Juss.,LC
25.02253,85.3873,Lagerstroemia speciosa (L.) Pers.,LC
10.81827,76.67378,Tamarindus indica L.,LC
8.34321,77.05285,Tamarindus indica L.,LC
28.50922,77.41354,Tabebuia aurea (Silva Manso) Benth. & Hook.fil. ex S.Moore,LC
11.3059,75.9683,Cassia fistula L.,LC
10.87309,76.06024,Cascabela thevetia (L.) Lippold,LC
8.52064,77.11067,Saraca asoca (Roxb.) W.J.de Wilde,VU
10.81827,76.67378,Azadirachta indica A.Juss.,LC
11.62616,75.57842,Bombax ceiba L.,LC
9.77485,76.4259,Mangifera indica L.,DD
9.98534,76.77693,Tectona grandis L.f.,EN
10.42761,76.21607,Psidium guajava L.,LC
9.24369,76.79124,Psidium guajava L.,LC
28.96931,77.7397,Caryota urens L.,LC
22.42339,80.66753,Azadirachta indica A.Juss.,LC
8.34321,77.05285,Syzygium cumini (L.) Skeels,LC
25.24063,73.45485,Aegle marmelos (L.) Corrêa,NT
8.59901,76.84622,Alstonia scholaris (L.) R.Br.,LC
11.89869,76.00549,Tectona grandis L.f.,EN
9.17132,76.60099,Alstonia scholaris (L.) R.Br.,LC
10.7376,77.02106,Mangifera indica L.,DD
8.62937,76.83427,Cassia fistula L.,LC
8.34321,77.05285,Tamarindus indica L.,LC
11.599,75.59607,Gliricidia sepium (Jacq.) Kunth,LC
9.39771,76.57853,Mimusops elengi L.,LC
11.72679,75.55953,Azadirachta indica A.Juss.,LC
11.08594,77.11659,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
9.26885,76.82158,Tamarindus indica L.,LC
8.78772,76.75781,Annona squamosa L.,LC
8.75197,76.7726,Azadirachta indica A.Juss.,LC
10.74641,76.82642,Mangifera indica L.,DD
11.60553,75.59,Mangifera indica L.,DD
9.13111,76.63311,Alstonia scholaris (L.) R.Br.,LC
9.14523,76.61468,Samanea saman (Jacq.) Merr.,LC
10.02344,76.25666,Cassia fistula L.,LC
8.75197,76.7726,Azadirachta indica A.Juss.,LC
8.53669,76.88003,Samanea saman (Jacq.) Merr.,LC
13.07273,77.5828,Cassia fistula L.,LC
8.34321,77.05285,Phyllanthus emblica L.,LC
9.39771,76.57853,Mangifera indica L.,DD
12.17183,75.2447,Tectona grandis L.f.,EN
9.99196,76.34092,Manilkara zapota (L.) P.Royen,LC
9.39771,76.57853,Ficus religiosa L.,LC
